Date,Cloudiness,Rainfall,Max Temperature,Min Temperature,Humidity,Mean Temperature,Flood Label
31-01-90,6.591398,234.3,30.525806,23.122581,83.846774,26.208387,1
28-02-90,7.571429,190,30.307143,23.114286,83.157407,26.09,0
31-03-90,7.043011,299.2,30.548387,23.070968,84.758065,26.055484,1
30-04-90,6.640449,236.4,30.343333,22.91,84.836207,26.046897,0
31-05-90,6.516129,244.6,31.2,23.33871,82.225806,26.776774,0
30-06-90,5.539326,89.3,31.296667,23.236667,79.405172,26.85931,0
31-07-90,5.688172,173.9,30.854839,23.032258,75.927419,26.794194,1
31-08-90,3.971429,55.4,31.72,22.912,71.521739,27.033913,0
30-09-90,4.411111,39,32.536667,23.27,70.358333,27.883333,0
31-10-90,5.139785,79.4,32.812903,23.63871,70.064516,27.830968,0
30-11-90,4.844444,37.9,33.723333,24.183333,66.733333,28.709333,0
31-12-90,7.172043,137.9,32.06129,24.158065,75.491935,27.674839,0
31-01-91,7.793478,278.5,29.951613,23.025806,84.5,26.176129,0
28-02-91,7.107143,223.8,30.603571,23.335714,83.080357,26.494286,0
31-03-91,8.204301,309.2,29.964516,23.119355,87.016129,25.998065,1
30-04-91,7.444444,342.9,30.506667,22.79,83.825,26.137333,1
31-05-91,6.688172,322.2,30.241935,23.135484,84.104839,26.316774,0
30-06-91,6.388889,137.9,30.84,23.546667,80.916667,26.894,1
31-07-91,5.688172,173.9,30.854839,23.032258,75.927419,26.794194,0
31-08-91,3.971429,55.4,31.72,22.912,71.521739,27.033913,0
30-09-91,4.411111,39,32.536667,23.27,70.358333,27.883333,0
31-10-91,5.139785,79.4,32.812903,23.63871,70.064516,27.830968,0
30-11-91,4.844444,37.9,33.723333,24.183333,66.733333,28.709333,0
31-12-91,7.172043,137.9,32.06129,24.158065,75.491935,27.674839,0
31-01-92,6.945652,236.5,32.051613,23.880645,77.933333,27.386667,1
29-02-92,7.390805,262.7,31.227586,23.544828,78.991379,27.041379,0
31-03-92,7.719101,347.8,30.354839,23.06129,84.657407,26.191852,1
30-04-92,7.898876,218.6,31.47,23.65,81.775862,27.074483,0
31-05-92,5.688172,118.8,32.16129,23.690323,76.95,27.123226,0
30-06-92,3.188889,61,32.083333,23.17,77.141667,27.095333,0
31-07-92,4.430108,90.3,31.587097,22.477419,72.483871,27.093548,0
31-08-92,6.344086,100.3,31.26129,22.229032,76.91129,26.494194,0
30-09-92,5.022222,90,33.04,23.653333,73.416667,28.059333,0
31-10-92,5.247312,87.4,32.483871,23.56129,75.33871,27.689032,0
30-11-92,7.011111,71.2,32.226667,23.69,77.258333,27.621333,0
31-12-92,6.688172,265.6,30.306452,22.867742,85.403226,26.150968,0
31-01-93,6.322581,436.5,30.248387,22.754839,85.862903,26.043226,1
28-02-93,7.071429,617.4,29.889286,22.425,85.455357,25.729286,1
31-03-93,6.88172,229.3,30.103226,22.73871,86.483871,25.855484,0
30-04-93,6.766667,370.3,30.176667,22.893333,86.683333,26.048,1
31-05-93,5.344086,96.8,31.248387,23.251613,81.282258,27.17871,0
30-06-93,4.588889,61.5,31.37,23.276667,77.816667,27.311333,0
31-07-93,5.075269,34.6,31.390323,22.793548,76.201613,26.818065,0
31-08-93,5.142857,47.7,31.751613,22.945161,74.2,27.427333,0
30-09-93,5.988889,21.9,33.236667,23.86,70.875,28.068,0
31-10-93,7.129032,99.8,32.222581,23.312903,81.466667,26.987742,0
30-11-93,7.766667,256.3,31.153333,23.143333,87.258333,26.472,0
31-12-93,7.086022,251.3,30.954839,23.109677,86.637097,26.554194,0
31-01-94,8.354839,371.1,29.9,22.490323,91.016129,25.776129,1
